uid,species,microscope,experiment,height,width
Millet_Olympus_Exp4_1-2cm__08,Millet,Olympus,Exp4,1184,1184
Millet_Olympus_Exp6_5-6cm__28,Millet,Olympus,Exp6,1408,1408
Rice_C10_Exp7_PSY17-4-a,Rice,C10,Exp7,1236,1237
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_06,Rice,Olympus,Exp10,1332,1332
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_03,Rice,Olympus,Exp10,1188,1188
Sorghum_Olympus_Exp100_LLC2960_05,Sorghum,Olympus,Exp100,2048,2048
Sorghum_Olympus_Exp16_2_01,Sorghum,Olympus,Exp16,1688,1688
Sorghum_Olympus_Exp16_3_05,Sorghum,Olympus,Exp16,1786,1786
Sorghum_Olympus_Exp59_1_07,Sorghum,Olympus,Exp59,2048,2048
Sorghum_Olympus_Exp71_PDB134_04,Sorghum,Olympus,Exp71,3834,3832
Sorghum_Olympus_Exp74_PDB143_15,Sorghum,Olympus,Exp74,2048,2048
Sorghum_Olympus_Exp75_PDB161_03,Sorghum,Olympus,Exp75,2048,2048
Sorghum_Olympus_Exp88_N3_02,Sorghum,Olympus,Exp88,2048,2048
Sorghum_Olympus_Exp94_LLC3456_07,Sorghum,Olympus,Exp94,3834,3832
Tomato_C10_Exp3_M82_WT_A8ROI1,Tomato,C10,Exp3,1878,1878
Tomato_Olympus_Exp12_Suberin_mutants_13-24_19,Tomato,Olympus,Exp12,1244,1244
Tomato_Olympus_Exp18_WT_38_07,Tomato,Olympus,Exp18,1528,1528
Tomato_Olympus_Exp1_Lignin_mutants_132,Tomato,Olympus,Exp1,956,956
Tomato_Olympus_Exp6_Solanum_WendySlide1_04,Tomato,Olympus,Exp6,1568,1568
