Trait,Genotype,Mean_raw,SD_raw,N,CLD,In_filtered,ANOVA_F,ANOVA_p,df_between,df_within
Endodermis_TRITC_thresholded_raw_mean,1,2773.179,267.0394,6,c,True,5.899,1.1e-05,9,54
Endodermis_TRITC_thresholded_raw_mean,11,2458.963,209.5682,7,abc,True,5.899,1.1e-05,9,54
Endodermis_TRITC_thresholded_raw_mean,17,2306.958,286.0138,6,ab,True,5.899,1.1e-05,9,54
Endodermis_TRITC_thresholded_raw_mean,23,2532.126,185.4867,9,bc,True,5.899,1.1e-05,9,54
Endodermis_TRITC_thresholded_raw_mean,37,2387.611,124.5653,7,ab,True,5.899,1.1e-05,9,54
Endodermis_TRITC_thresholded_raw_mean,42,2318.564,130.0322,9,ab,True,5.899,1.1e-05,9,54
Endodermis_TRITC_thresholded_raw_mean,45,2787.862,254.2884,6,c,True,5.899,1.1e-05,9,54
Endodermis_TRITC_thresholded_raw_mean,50,2612.93,198.6308,5,bc,True,5.899,1.1e-05,9,54
Endodermis_TRITC_thresholded_raw_mean,51,2111.137,261.8479,4,a,True,5.899,1.1e-05,9,54
Endodermis_TRITC_thresholded_raw_mean,56,2355.829,165.0824,5,ab,True,5.899,1.1e-05,9,54
Endodermis_FITC_thresholded_raw_mean,1,3590.315,534.6246,6,c,True,4.197,0.000378,9,54
Endodermis_FITC_thresholded_raw_mean,11,2847.588,195.1147,7,ab,True,4.197,0.000378,9,54
Endodermis_FITC_thresholded_raw_mean,17,3112.479,331.5941,6,abc,True,4.197,0.000378,9,54
Endodermis_FITC_thresholded_raw_mean,23,2950.254,219.815,9,abc,True,4.197,0.000378,9,54
Endodermis_FITC_thresholded_raw_mean,37,2946.673,362.8556,7,abc,True,4.197,0.000378,9,54
Endodermis_FITC_thresholded_raw_mean,42,2981.052,458.7751,9,abc,True,4.197,0.000378,9,54
Endodermis_FITC_thresholded_raw_mean,45,3344.852,137.8438,6,abc,True,4.197,0.000378,9,54
Endodermis_FITC_thresholded_raw_mean,50,3513.705,627.3972,5,ac,True,4.197,0.000378,9,54
Endodermis_FITC_thresholded_raw_mean,51,2647.459,161.4511,4,b,True,4.197,0.000378,9,54
Endodermis_FITC_thresholded_raw_mean,56,2671.256,405.3268,5,b,True,4.197,0.000378,9,54
Exodermis_TRITC_thresholded_raw_mean,1,1574.918,66.4521,6,a,True,6.787,2e-06,9,54
Exodermis_TRITC_thresholded_raw_mean,11,2050.319,455.5925,7,abc,True,6.787,2e-06,9,54
Exodermis_TRITC_thresholded_raw_mean,17,2407.71,710.089,6,b,True,6.787,2e-06,9,54
Exodermis_TRITC_thresholded_raw_mean,23,1551.696,161.1788,9,a,True,6.787,2e-06,9,54
Exodermis_TRITC_thresholded_raw_mean,37,1522.861,133.4399,7,a,True,6.787,2e-06,9,54
Exodermis_TRITC_thresholded_raw_mean,42,1600.724,158.3274,9,a,True,6.787,2e-06,9,54
Exodermis_TRITC_thresholded_raw_mean,45,1527.542,68.0264,6,a,True,6.787,2e-06,9,54
Exodermis_TRITC_thresholded_raw_mean,50,1929.098,265.603,5,abc,True,6.787,2e-06,9,54
Exodermis_TRITC_thresholded_raw_mean,51,2389.511,202.923,4,bc,True,6.787,2e-06,9,54
Exodermis_TRITC_thresholded_raw_mean,56,1705.591,470.6593,5,ac,True,6.787,2e-06,9,54
Exodermis_FITC_thresholded_raw_mean,1,3195.105,146.4037,6,abc,True,5.084,5.6e-05,9,54
Exodermis_FITC_thresholded_raw_mean,11,3381.358,344.4791,7,ab,True,5.084,5.6e-05,9,54
Exodermis_FITC_thresholded_raw_mean,17,3654.729,448.7209,6,a,True,5.084,5.6e-05,9,54
Exodermis_FITC_thresholded_raw_mean,23,2862.385,172.3287,9,bc,True,5.084,5.6e-05,9,54
Exodermis_FITC_thresholded_raw_mean,37,2900.026,289.067,7,bc,True,5.084,5.6e-05,9,54
Exodermis_FITC_thresholded_raw_mean,42,2862.913,414.1252,9,bc,True,5.084,5.6e-05,9,54
Exodermis_FITC_thresholded_raw_mean,45,2996.947,220.772,6,bc,True,5.084,5.6e-05,9,54
Exodermis_FITC_thresholded_raw_mean,50,3278.367,274.1433,5,abc,True,5.084,5.6e-05,9,54
Exodermis_FITC_thresholded_raw_mean,51,3305.456,272.6192,4,abc,True,5.084,5.6e-05,9,54
Exodermis_FITC_thresholded_raw_mean,56,2669.57,561.7317,5,c,True,5.084,5.6e-05,9,54
aerenchyma_ratio,1,0.1269,0.0751,6,a,True,5.286,3.7e-05,9,54
aerenchyma_ratio,11,0.1452,0.0191,7,ab,True,5.286,3.7e-05,9,54
aerenchyma_ratio,17,0.1345,0.0551,6,a,True,5.286,3.7e-05,9,54
aerenchyma_ratio,23,0.1986,0.0425,9,abc,True,5.286,3.7e-05,9,54
aerenchyma_ratio,37,0.1687,0.0447,7,abc,True,5.286,3.7e-05,9,54
aerenchyma_ratio,42,0.2303,0.0333,9,c,True,5.286,3.7e-05,9,54
aerenchyma_ratio,45,0.2285,0.0565,6,bc,True,5.286,3.7e-05,9,54
aerenchyma_ratio,50,0.1332,0.0539,5,ab,True,5.286,3.7e-05,9,54
aerenchyma_ratio,51,0.255,0.0543,4,c,True,5.286,3.7e-05,9,54
aerenchyma_ratio,56,0.1689,0.0517,5,abc,True,5.286,3.7e-05,9,54
