Species,Microscope,Genotype,Vascular_M,Vascular_A,Exodermis_M,Exodermis_A,Endodermis_M,Endodermis_A,Cortex_M,Cortex_A,Epidermis_M,Epidermis_A,Aerenchyma_M,Aerenchyma_A,mIoU_M,mIoU_A
Millet,Olympus,AW23,0.983,0.980,0.955,0.915,0.947,0.943,0.977,0.977,0.910,0.823,0.115,0.241,0.814,0.813
Millet,Olympus,AW23,0.991,0.991,0.914,0.890,0.961,0.957,0.977,0.965,0.858,0.747,0.133,0.000,0.806,0.758
Rice,C10,*psy1-17*,0.959,0.946,0.968,0.937,0.821,0.815,0.994,0.990,0.915,0.864,0.492,0.000,0.858,0.758
Rice,Olympus,*wox10-15*,0.982,0.980,0.964,0.944,0.920,0.919,0.994,0.991,0.873,0.843,0.815,0.842,0.925,0.920
Rice,Olympus,*wox10-15*,0.982,0.983,0.059,0.582,0.930,0.928,0.831,0.981,0.248,0.552,0.578,0.536,0.605,0.761
Sorghum,Olympus,Teshale,0.991,0.991,0.930,0.897,0.949,0.956,0.989,0.984,0.855,0.815,0.871,0.759,0.931,0.901
Sorghum,Olympus,SRN39,0.992,0.989,0.950,0.947,0.946,0.941,0.988,0.989,0.853,0.794,0.287,0.567,0.836,0.871
Sorghum,Olympus,SRN39,0.991,0.993,0.910,0.909,0.943,0.947,0.983,0.982,0.832,0.779,0.255,0.360,0.819,0.828
Sorghum,Olympus,SQR,0.991,0.994,0.966,0.938,0.943,0.958,0.994,0.990,0.910,0.861,0.765,0.703,0.928,0.907
Sorghum,Olympus,Teshale,0.988,0.845,0.942,0.103,0.926,0.289,0.992,0.802,0.829,0.010,0.870,0.547,0.924,0.433
Sorghum,Olympus,Teshale,0.990,0.988,0.774,0.826,0.911,0.927,0.974,0.983,0.772,0.814,n/a,n/a,0.884,0.908
Solanums,C10,M82,0.979,0.960,0.963,0.901,0.915,0.885,0.988,0.973,0.894,0.770,n/a,n/a,0.948,0.898
Solanums,Olympus,*slasft*,0.876,0.899,0.951,0.918,0.846,0.774,0.944,0.936,0.874,0.828,n/a,n/a,0.898,0.871
Solanums,Olympus,M82,0.987,0.968,0.968,0.894,0.940,0.874,0.988,0.958,0.906,0.799,n/a,n/a,0.958,0.899
Solanums,Olympus,M82,0.971,0.967,0.952,0.918,0.914,0.898,0.966,0.942,0.889,0.833,n/a,n/a,0.939,0.912
Solanums,Olympus,INS1,0.980,0.961,0.962,0.931,0.932,0.914,0.988,0.980,0.863,0.824,n/a,n/a,0.945,0.922
